source-address 	lat	lng	 RSSI 
2;	43,5692;	1,4663;	-112
2;	43,572	;1,4672	;-107
2;	43,572	;1,4672	;-111
2;	43,5692;	1,4657;	-110
2;	43,5718;	1,4676;	-113
2;	43,5698;	1,4678;	-113
2;	43,5721;	1,4671;	-103
2;	43,5722;	1,4653;	-96
2;	43,5722;	1,4669;	-111
2;	43,5691;	1,466	;	-108
2;	43,5691;	1,4661;	-110
2;	43,5718;	1,4677;	-113
2;	43,5691;	1,4663;	-111
2;	43,5699;	1,468	;	-112
2;	43,5722;	1,467	;	-113
2;	43,5723;	1,4668;	-112
2;	43,5724;	1,466	;	-90
2;	43,5724;	1,4661;	-107
2;	43,5723;	1,4652;	-100
2;	43,569	;1,4661	;-111
2;	43,5718;	1,4679;	-95
2;	43,5723;	1,4651;	-106
2;	43,5698;	1,4681;	-106
2;	43,569	;1,4656	;-108
2;	43,5724;	1,4668;	-96
2;	43,5718;	1,468	;	-109
2;	43,5725;	1,4659;	-89
2;	43,5725;	1,4662;	-99
2;	43,5725;	1,4666;	-102
2;	43,5718;	1,4681;	-101
2;	43,5717;	1,4682;	-108
2;	43,5717;	1,4682;	-114
2;	43,5725;	1,4667;	-103
2;	43,5724;	1,465	;	-108
2;	43,5716;	1,4683;	-100
2;	43,5697;	1,4682;	-112
2;	43,5697;	1,4682;	-113
2;	43,5726;	1,4658;	-82
2;	43,5726;	1,4663;	-89
2;	43,5726;	1,4664;	-102
2;	43,5714;	1,4685;	-88
2;	43,5725;	1,4651;	-85
2;	43,5716;	1,4684;	-107
2;	43,5688;	1,4658;	-111
2;	43,5726;	1,4666;	-99
2;	43,5725;	1,465	;	-104
2;	43,5715;	1,4685;	-111
2;	43,5726;	1,4654;	-107
2;	43,5726;	1,4653;	-92
2;	43,5714;	1,4686;	-111
2;	43,5696;	1,4683;	-115
2;	43,5712;	1,4687;	-105
2;	43,5727;	1,4657;	-84
2;	43,5713;	1,4687;	-112
2;	43,5727;	1,4665;	-89
2;	43,5727;	1,4665;	-103
2;	43,571	;1,4688	;-113
2;	43,5687;	1,4661;	-109
2;	43,5719;	1,4683;	-112
2;	43,5727;	1,4655;	-85
2;	43,5727;	1,4666;	-110
2;	43,5727;	1,4666;	-87
2;	43,5711;	1,4688;	-111
2;	43,5711;	1,4688;	-109
2;	43,5717;	1,4685;	-113
2;	43,5714;	1,4687;	-112
2;	43,5716;	1,4686;	-113
2;	43,5712;	1,4688;	-113
2;	43,5707;	1,4689;	-108
2;	43,5708;	1,4689;	-113
2;	43,5708;	1,4689;	-94
2;	43,5715;	1,4687;	-114
2;	43,5715;	1,4687;	-113
2;	43,5719;	1,4684;	-103
2;	43,5713;	1,4688;	-114
2;	43,5695;	1,4684;	-113
2;	43,5728;	1,4663;	-107
2;	43,5728;	1,4663;	-109
2;	43,5728;	1,4664;	-95
2;	43,5728;	1,4664;	-106
2;	43,5686;	1,466	;	-111
2;	43,5712;	1,4689;	-113
2;	43,572	;1,4684	;-106
2;	43,5728;	1,4667;	-111
2;	43,5728;	1,4667;	-105
2;	43,5706;	1,469	;	-113
2;	43,5728;	1,4668;	-112
2;	43,5711;	1,469	;	-112
2;	43,572	;1,4685	;-99
2;	43,5729;	1,4663;	-99
2;	43,5694;	1,4685;	-110
2;	43,5706;	1,4691;	-114
2;	43,5706;	1,4691;	-111
2;	43,5705;	1,4691;	-113
2;	43,5685;	1,4663;	-109
2;	43,571	;1,4691	;-113
2;	43,572	;1,4686	;-112
2;	43,5694;	1,4686;	-109
2;	43,5729;	1,4669;	-112
2;	43,5729;	1,4669;	-112
2;	43,5729;	1,4669;	-112
2;	43,5707;	1,4692;	-112
2;	43,5706;	1,4692;	-113
2;	43,5709;	1,4692;	-113
2;	43,5729;	1,467	;	-113
2;	43,571	;1,4692	;-113
2;	43,5704;	1,4692;	-114
2;	43,5721;	1,4686;	-107
2;	43,5684;	1,4663;	-112
2;	43,5693;	1,4686;	-112
2;	43,5693;	1,4686;	-99
2;	43,5684;	1,4664;	-109
2;	43,5684;	1,4664;	-109
2;	43,5695;	1,4688;	-112
2;	43,5707;	1,4693;	-109
2;	43,5707;	1,4693;	-113
2;	43,5708;	1,4693;	-112
2;	43,5722;	1,4686;	-110
2;	43,5722;	1,4686;	-108
2;	43,5693;	1,4687;	-112
2;	43,5695;	1,4689;	-112
2;	43,573	;1,4671	;-114
2;	43,573	;1,4671	;-113
2;	43,5696;	1,469	;	-112
2;	43,573	;1,4672	;-113
2;	43,573	;1,4672	;-110
2;	43,5723;	1,4686;	-109
2;	43,5692;	1,4687;	-114
2;	43,5692;	1,4687;	-108
2;	43,5696;	1,4691;	-113
2;	43,5702;	1,4694;	-114
2;	43,5697;	1,4692;	-113
2;	43,5707;	1,4695;	-112
2;	43,5724;	1,4686;	-99
2;	43,5731;	1,4671;	-113
2;	43,5682;	1,4665;	-111
2;	43,5682;	1,4666;	-109
2;	43,5731;	1,4673;	-106
2;	43,5702;	1,4695;	-112
2;	43,5724;	1,4687;	-95
2;	43,5697;	1,4693;	-113
2;	43,5691;	1,4688;	-113
2;	43,5691;	1,4688;	-106
2;	43,5691;	1,4688;	-110
2;	43,5708;	1,4696;	-113
2;	43,5701;	1,4695;	-113
2;	43,5709;	1,4696;	-112
2;	43,5732;	1,467	;	-110
2;	43,571	;1,4696	;-112
2;	43,5698;	1,4694;	-113
2;	43,5732;	1,4671;	-93
2;	43,5711;	1,4696;	-112
2;	43,5712;	1,4696;	-113
2;	43,5712;	1,4696;	-111
2;	43,5732;	1,4672;	-95
2;	43,5699;	1,4695;	-113
2;	43,5713;	1,4696;	-113
2;	43,5732;	1,4673;	-91
2;	43,5698;	1,4695;	-113
2;	43,5714;	1,4696;	-105
2;	43,5724;	1,4689;	-107
2;	43,57		;1,4696	;-113
2;	43,5733;	1,467	;	-94
2;	43,569	;1,4689	;-114
2;	43,5715;	1,4696;	-113
2;	43,5733;	1,4671;	-98
2;	43,5733;	1,4671;	-104
2;	43,5699;	1,4696;	-113
2;	43,5733;	1,4672;	-96
2;	43,5716;	1,4696;	-113
2;	43,5724;	1,469	;	-102
2;	43,5689;	1,4689;	-112
2;	43,5717;	1,4696;	-112
2;	43,5724;	1,4691;	-109
2;	43,5718;	1,4696;	-113
2;	43,5718;	1,4696;	-113
2;	43,5719;	1,4696;	-114
2;	43,5724;	1,4692;	-97
2;	43,5679;	1,4668;	-110
2;	43,5688;	1,469	;      -113
2;	43,5724;	1,4693;	-88
2;	43,5688;	1,4691;	-114
2;	43,5688;	1,4691;	-107
2;	43,5722;	1,4696;	-113
2;	43,5724;	1,4695;	-108
2;	43,5724;	1,4695;	-111
2;	43,5723;	1,4696;	-110
2;	43,5687;	1,4692;	-113
2;	43,5687;	1,4692;	-114
2;	43,5687;	1,4692;	-110
2;	43,5687;	1,4692;	-113
2;	43,5687;	1,4692;	-111
2;	43,5677;	1,467	;      -106
2;	43,5686;	1,4692;	-113
2;	43,5686;	1,4693;	-107
2;	43,5685;	1,4693;	-112
2;	43,5685;	1,4693;	-113
2;	43,5685;	1,4693;	-110
2;	43,5684;	1,4694;	-113
2;	43,5684;	1,4694;	-109
2;	43,5675;	1,4674;	-104
2;	43,5684;	1,4695;	-112
2;	43,5684;	1,4695;	-110
2;	43,5674;	1,4673;	-111
2;	43,5685;	1,4698;	-114
2;	43,5684;	1,4697;	-113
2;	43,5683;	1,4696;	-114
2;	43,5683;	1,4696;	-107
2;	43,5685;	1,4699;	-114
2;	43,5684;	1,4698;	-113
2;	43,5682;	1,4696;	-112
2;	43,5685;	1,47		;-113
2;	43,5672;	1,4674;	-109
2;	43,5682;	1,4697;	-112
2;	43,5682;	1,4697;	-111
2;	43,5684;	1,47		;-113
2;	43,5683;	1,4699;	-112
2;	43,5683;	1,4699;	-113
2;	43,5672;	1,4677;	-107
2;	43,5671;	1,4674;	-112
2;	43,5683;	1,47		;-111
2;	43,5682;	1,4699;	-109
2;	43,5682;	1,4699;	-112
2;	43,567	;1,4676	;-110
2;	43,5669;	1,4677;	-109
2;	43,5669;	1,4679;	-108
2;	43,5668;	1,4679;	-110
2;	43,5665;	1,4682;	-110
2;	43,5663;	1,4684;	-111
2;	43,5662;	1,4685;	-111
2;	43,5662;	1,4685;	-110
2;	43,5662;	1,4685;	-111
2;	43,566	;1,4687	;-110
2;	43,5693;	1,4729;	-110
2;	43,5658;	1,4689;	-110
2;	43,5698;	1,4734;	-110
2;	43,5656;	1,4691;	-110
2;	43,5655;	1,4692;	-110
2;	43,5655;	1,4692;	-110
2;	43,5654;	1,4693;	-110
2;	43,5653;	1,4694;	-108
2;	43,5651;	1,4694;	-110
2;	43,565	;1,4694	;-100
2;	43,565	;1,4694	;-109
2;	43,565	;1,4694	;-104
2;	43,5651;	1,4702;	-110
2;	43,5652;	1,4707;	-108
2;	43,5654;	1,4712;	-111
2;	43,5653;	1,4718;	-109
2;	43,5668;	1,4748;	-111
2;	43,5667;	1,4751;	-110
2;	43,5667;	1,4752;	-109
2;	43,5643;	1,4743;	-110
