 lat ; lng;lat antenne;long antenne; RSSI ; RSSI packet ; SNR ;distance;Fréquence (MHz);Puissance émission (dBm);Perte;x;x moyen;Perte théorique (dB);
43,5685;1,4693;43,5707141;1,4660495;-113;-106;4;0,359432849;868,1;14;121,4;71,51624957;65,62097852;115,504729;
43,5685;1,4693;43,5707141;1,4660495;-110;-101;5;0,359432849;868,1;14;116,4;66,51624957;65,62097852;115,504729;
43,5684;1,4694;43,5707141;1,4660495;-113;-106;2;0,372928133;868,1;14;121,4;71,19610192;65,62097852;115,8248766;
43,5684;1,4694;43,5707141;1,4660495;-109;-101;5;0,372928133;868,1;14;116,4;66,19610192;65,62097852;115,8248766;
43,5684;1,4695;43,5707141;1,4660495;-112;-105;4;0,378800381;868,1;14;120,4;70,06039674;65,62097852;115,9605818;
43,5684;1,4695;43,5707141;1,4660495;-110;-105;2;0,378800381;868,1;14;120,4;70,06039674;65,62097852;115,9605818;
43,5685;1,4698;43,5707141;1,4660495;-114;-102;5;0,389759765;868,1;14;117,4;66,81266478;65,62097852;116,2083137;
43,5684;1,4697;43,5707141;1,4660495;-113;-108;2;0,390778504;868,1;14;123,4;72,78999157;65,62097852;116,230987;
43,5683;1,4696;43,5707141;1,4660495;-114;-106;4;0,392275569;868,1;14;121,4;70,75677965;65,62097852;116,2641989;
43,5683;1,4696;43,5707141;1,4660495;-107;-104;4;0,392275569;868,1;14;119,4;68,75677965;65,62097852;116,2641989;
43,5685;1,4699;43,5707141;1,4660495;-114;-107;3;0,396038204;868,1;14;122,4;71,67386322;65,62097852;116,3471153;
43,5684;1,4698;43,5707141;1,4660495;-113;-106;4;0,396877351;868,1;14;121,4;70,65547857;65,62097852;116,3655;
43,5682;1,4696;43,5707141;1,4660495;-112;-107;3;0,399967041;868,1;14;122,4;71,58812077;65,62097852;116,4328577;
43,5685;1,47;43,5707141;1,4660495;-113;-103;5;0,402379988;868,1;14;118,4;67,53587742;65,62097852;116,4851011;
43,5682;1,4697;43,5707141;1,4660495;-112;-106;2;0,405767924;868,1;14;121,4;70,46305063;65,62097852;116,5579279;
43,5682;1,4697;43,5707141;1,4660495;-111;-106;3;0,405767924;868,1;14;121,4;70,46305063;65,62097852;116,5579279;
43,5684;1,47;43,5707141;1,4660495;-113;-105;4;0,40927817;868,1;14;120,4;69,38823325;65,62097852;116,6327453;
43,5683;1,4699;43,5707141;1,4660495;-112;-106;4;0,410233427;868,1;14;121,4;70,36798397;65,62097852;116,6529946;
43,5683;1,4699;43,5707141;1,4660495;-113;-106;4;0,410233427;868,1;14;121,4;70,36798397;65,62097852;116,6529946;
43,5683;1,47;43,5707141;1,4660495;-111;-109;0;0,416359073;868,1;14;124,4;73,23924421;65,62097852;116,7817343;
43,5682;1,4699;43,5707141;1,4660495;-112;-107;3;0,417594316;868,1;14;122,4;71,2135133;65,62097852;116,8074652;
43,5682;1,4699;43,5707141;1,4660495;-109;-120;-3;0,417594316;868,1;14;135,4;84,2135133;65,62097852;116,8074652;
